"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Indonesia";282318,87537717;21857,0652699025;117722,925432013;15829,3712355523;133882,364651691;135369,465202621;22565,3733635823;-48092,4359747453;1629,09062514893;15058,9438730766;483656,419742961;29644,8821463639;130293,868955039;3772,6945153832;19984,179207596;215867,785962885;242628,111993489;29831,9077751502;2093,48163200506;3368,69316653047;0;-157013,806433943;13057,4190535734;218031,408108533;1245130,80327241;279889,300955907;4230,21289385423;750,98928963457;1514,9391197827;60665,4737420872;440,09427579025;422960,219673772;14436,0076294486;39730,3534638036;15821,810340209;9803,01300975981;133064,007410113;6729,24420517826;5788,3925807005;47494,0510615708;117979,02542509;114193,67942625;1713132,84695283;1285824,9521593
"India";503015,056048717;68063,3990682814;313360,106957854;10924,0472205988;179257,70294994;335080,702201284;156842,698340805;974085,682075358;14546,3297473295;36853,6255022729;1157588,88724393;104332,072668386;347174,585346847;4649,48093457896;55938,1815188052;935765,366069977;1090329,90833107;114990,588633434;20415,6440020202;22328,1486646761;157013,806433943;0;32987,1841022207;670703,966342492;675412,419101115;553001,688117875;13739,7182379109;1541,6443149897;5887,04445959221;159260,676261002;6790,05929980571;373942,526652521;68637,9706543773;96207,0592356173;75651,0799291811;28717,4007882783;529737,23252755;11107,1287672014;23363,48622496;116266,685152822;299158,017581265;340024,110020458;3532880,7651655;7803155,39692882
"Ireland";-40741,9236350944;-6313,60399002028;-123221,492308251;-3657,69447135226;-18531,9814455034;-34923,7017484791;-124498,701457963;-250401,726935385;783,661695255099;-11845,9847207599;-149959,164689064;24921,5137297163;-111921,034869485;-2552,53191272811;2208,5268922291;-156973,260047962;144916,969127238;-24126,1837576109;-356,11939084795;-253,896848936258;-13057,4190535734;-32987,1841022207;0;-85510,203347387;-63291,7728604491;-9471,75707672798;-1134,08147219841;14560,5455862104;-904,439776512561;-26279,6792074413;-916,36868248996;-42119,7114276666;42862,6293792191;-21038,2006006439;-23990,810457558;-9766,29118062642;-13295,3997480181;-2376,3604529502;-954,581999085435;-30562,0798993837;-2626,71303310884;-2492,49403976628;-537750,617113241;-931388,907954238
"Italy";-77860,3588128816;39707,7420127305;131627,398044958;-93460,6522564395;-234177,200358773;-70935,9184739453;-72726,4655924314;-1951685,47554008;-26867,5573831198;-10997,7708787882;562417,567936086;-43062,6856958726;-334285,386652543;-8264,12997956987;37150,5144599966;-354255,807957225;-215346,472101445;-244813,076802719;-74850,5690759281;-35338,5000326732;-218031,408108533;-670703,966342492;85510,203347387;0;-38566,168744367;-34239,7515545904;-18485,4437117882;15555,1528349393;-9235,06405316049;-146017,256410848;-21778,5957495672;157190,945388748;125391,971426925;-165780,821917754;-101786,496250968;-208447,014344765;-6937,5944176187;-5923,25351798009;-61294,3826301591;2074,46004340617;-185285,420605751;-9477,48419669935;-413190,360239175;-7761956,7776723
"Japan";1120681,21930537;10870,4985031706;-76931,6730883466;-4047,93037760989;-169549,203835545;17139,6845856776;84383,2241389437;-10808819,0661151;-6146,49824461616;-60696,3577437158;-6582,48079093813;64126,0810967626;-61304,2153873748;-1916,24352208714;-178,455230976637;32369,1951685421;-113650,584042347;-6226,31563942243;-1586,35170909438;-41882,4929036316;-1245130,80327241;-675412,419101115;63291,7728604491;38566,168744367;0;-722485,754450944;-931,897996275464;-1842,53837114061;-708,572783506838;-287269,248034252;-1464,97516055442;-112554,921956332;81208,5846655771;-41635,4613507117;-15978,4614248609;-7684,64600927243;-608870,53367744;-8332,3320101651;-3398,01886610001;12051,4173377267;-70324,1811849677;-893935,177795101;-1229915,63955423;-14716185,7590521
"Republic of Korea";417746,897442225;17188,4561544154;-7584,41318937458;-3724,75916847322;-123952,772549261;14528,917192985;38572,1447106793;-4642730,25709016;-7291,24044516036;-14817,6147881893;157341,993124547;6715,09555566568;-37869,2658424012;-1619,3536166332;-19248,8281229086;53279,1662119413;-18148,9552509707;-69825,5196083775;-2341,89636401223;-27155,6000516356;-279889,300955907;-553001,688117875;9471,75707672798;34239,7515545904;722485,754450944;0;-1463,72618165731;1043,7011025662;-1950,80211214645;-270191,489428333;-1992,75908835528;12570,8421191195;34491,1578219508;-84624,8245638882;-7531,37824106189;-14195,0246682605;-186205,696966642;-74402,1291188522;-9199,66146427119;17224,9024064403;-68642,7799563236;-164875,07878519;-184421,393163228;-5614333,83373473
"Lithuania";-353,439032854753;3476,35478658983;9986,49823072952;-584,404842678846;-2400,26778170621;-5886,85179914421;1040,30807459107;-36888,4518327953;-193,39027166637;6082,30117502842;55255,0631900782;-14803,6862912341;-619,226875140444;-10054,4528022105;12145,6316677699;-8686,41016218201;3601,63193174285;584,238801493504;206,346650090563;3691,51978939548;-4230,21289385423;-13739,7182379109;1134,08147219841;18485,4437117882;931,897996275464;1463,72618165731;0;-306,493674540699;-19474,07549222;-1021,32060158298;229,76783202583;3061,12196658143;6324,53116355859;6499,35143693552;-730,887686961222;-425,928324011646;111700,793226695;2102,98551589904;1939,10692062318;8028,51396692544;940,659283074356;360,690091868457;-10996,1204986113;-291821,425603699
"Luxembourg";-494,791057335855;-1046,77568347358;104369,313865732;-429,007708063544;1021,85088367763;2131,42125319603;-828,463757985972;-20612,1114826743;761,497562776776;-485,971456853476;59402,2403474724;-1904,0356794135;-2122,49481417341;-231,367329628087;-231,977662055133;6249,39800923005;-1239,16508242331;-500,976555619613;-33,1637301018341;-903,176194574197;-750,98928963457;-1541,6443149897;-14560,5455862104;-15555,1528349393;1842,53837114061;-1043,7011025662;306,493674540699;0;-138,257539577955;-567,732734177385;-297,527073711428;-9160,94149616212;962,456715385676;3374,49784543729;-1418,67982789809;-1178,62131453613;-2390,90380225317;-215,990232860322;-221,285403742483;-4109,28025119229;-1308,57808751844;-346,252408076617;17976,9978926348;-170191,106299266
"Latvia";116,668703244301;4518,84882521333;4021,37490567253;-396,970046665902;-876,936719008987;887,664608165883;3122,28021623604;-28688,3705527081;-92,0388064162609;3484,48983692229;37116,2531172706;7668,70813042439;4035,24927163897;2436,94117179138;14310,9858844752;9379,11752626689;3212,7557192299;87,2536502807687;300,478743656701;3190,25840441727;-1514,9391197827;-5887,04445959221;904,439776512561;9235,06405316049;708,572783506838;1950,80211214645;19474,07549222;138,257539577955;0;-45,9335121446644;-17,852572380419;4244,87994243622;1598,80346515882;11865,3709772435;450,293998671114;318,726810978204;23695,1216602698;3469,88158344424;983,709392749647;8422,96900149796;293,371658885512;270,132785864722;5580,33491067125;-189384,24576687
"Mexico";-1362,90284821665;18981,6539565337;6526,83479004804;-1161,61300122432;-14479,5273752665;-47459,5567074831;36430,8652050837;-861133,152702133;-57,8341572094117;4271,79351200864;276898,602087495;6071,68069586849;5707,89939459934;473,347119468078;5306,59673796359;103677,93590377;29917,2522494709;5732,39404146466;-212,830310149514;4059,08897162538;-60665,4737420872;-159260,676261002;26279,6792074413;146017,256410848;287269,248034252;270191,489428333;1021,32060158298;567,732734177385;45,9335121446644;0;683,93433581499;46770,3385097014;4020,71069099555;1057,98248375831;4048,24594880427;23,5255367964585;-3993,78304845849;2270,39315292925;1452,42977238444;32047,2312867451;355,093634176033;68040,5549419816;176115,869613425;-2034888,50849869
