"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Irlanda";-83545782,2728279;-13486127,1868193;-347553132,918885;-6958735,31983415;-35352305,2749894;-92649583,0201124;-606462469,378324;-3124324,15685687;-15337863,8643145;-862787323,280663;-6748608,7825336;-187366054,198343;-2868321,74532798;-18061106,5878315;-311957517,738096;592509412,988615;-35273981,5583315;-6895220,84855442;13699528,6578579;-157354133,505024;0;-215473904,844608;-53664593,4263957;-20067135,7888672;-973726,232014058;6004962,82412453;-3083817,57120664;-51942478,0555804;-1490992,69288609;26391307,9886301;-25610020,9727178;-26607474,4781221;-21017611,0953096;-39499964,8607011;-9098514,65937939;-1615987,96914331;-50922983,2895018;-23283080,8921482;-34444424,0308902;-1020675928,00195;-2104419763,76524
"Itália";-138523559,366847;252815130,357088;645126814,580433;-175513985,246685;-421794158,55822;-221423664,83825;-4768240427,51043;-50211968,4663874;-68144877,5858222;2241290025,44708;-19789063,5723197;-718242861,996871;-23655539,0145133;19774160,1903645;597103,049334526;-434076977,919408;-516324332,638389;-62379665,2315381;-213934141,476722;-2925244897,34701;215473904,844608;0;-186969407,306436;-27019164,545499;-32031015,0720893;32679174,9857333;-22678113,1320745;-300310899,736169;-64395615,5303948;676418372,042764;-247213722,664151;-194949251,727302;-745022969,544472;-172099858,233873;-5472741,73503059;-136316203,468086;78604551,122408;-445892741,273208;-56946588,314861;-1943826644,40631;-17183746053,3807
"Japão";1103850277,10017;5482288,56251639;-197019087,053486;-21720418,7548486;-436275845,219286;-206525894,733121;-28797946716,5986;-8781057,26175682;-127101052,130456;76332366,1161838;135961225,779737;-330660743,512811;-27008308,796839;28330112,1753877;69344202,4995797;-344056259,754447;-65876150,3827518;-103082057,399487;-1036374891,76827;-2992713663,96997;53664593,4263957;186969407,306436;0;-1792371421,25574;-2617686,42623251;1618434,64287913;-1375481,77503902;-941146527,107083;1890633,3877351;-119324672,152108;-104697390,146391;-31247934,3667845;-51962845,8464355;-1122756532,31677;-33248392,9087026;-1682391,77500391;44848187,696298;-178642233,515204;-2095619622,20271;-5002621321,7425;-31770838707,1617
"Coreia do Sul";656601256,074141;25180687,7287646;3900059,34364489;-11282532,1956671;-229026922,565111;-28709473,5332518;-11767155419,2252;-2400950,3820227;-11313741,4520361;138043715,470349;38026467,3489882;-176827504,94883;-4012413,82995801;-8105742,16610992;43484681,7724499;57396340,2626941;-123257735,5859;-79719666,8006441;-189393558,730291;-1162500760,43946;20067135,7888672;27019164,545499;1792371421,25574;0;-1917604,34323879;5311369,84835195;-1443827,07080145;-530068617,879772;262445,786912115;81608210,3001212;-123287198,952619;-13889816,3167529;-37295405,6980719;-507990929,569638;-51056684,9099566;-4634489,66015149;23614217,1768786;-233209828,825322;-369225291,901495;-132653119,080478;-9737369262,57966
"Lituânia";-2300039,32302888;7324555,83917703;17479248,7734287;-998326,13778144;-3335369,07530266;-25703182,2919824;-52765193,5666744;372564,853540012;8403920,54377121;160458821,027189;27647952,908073;6927516,95461863;-11724780,7058923;37277259,9805817;9664923,95002106;41626534,4826479;259234,68701924;3607725,07433707;-1622547,75251274;-18173300,6856549;973726,232014057;32031015,0720893;2617686,42623251;1917604,34323879;0;504795,067174064;-29514405,9874131;-470304,601273843;102318,600586628;16829450,7747445;11701525,3679951;-234315,248535806;-1665303,59497711;154436713,368989;4542217,09938018;1705895,94910817;21227188,8006288;-1660999,50392393;1838868,99134304;-12954553,8726231;-303854369,522504
"Luxemburgo";-1713177,53886992;-5410765,85544973;211101140,099122;-687245,913773448;-1608147,9295253;-1149972,76063175;-59032578,7593646;-177856,76746328;-9255228,49431925;64856412,2974283;-13682087,9408792;-15415535,1838546;-707459,239318476;-348374,581859653;1793571,49597827;-11279169,7048908;-19501591,3958089;-3953186,08132335;-16202757,8282107;-8150668,48861594;-6004962,82412453;-32679174,9857332;-1618434,64287913;-5311369,84835195;-504795,067174064;0;-1313003,52768274;-3830275,75325563;8022,87249959934;1965614,8610668;-15233609,592517;-5920736,57768391;-2732718,69271436;-6577478,11853214;-1911161,48153879;-2773781,15970692;-24464419,7316975;-6379160,60638756;-1157409,66205368;-25238079,0428939;-116665941,81324
"Letônia";-59399,4982808863;11785774,6097999;10273441,8507348;-284797,809902529;-761333,49565994;1772,91014555469;-27251829,0701512;966994,897264435;9205355,17757346;110805770,534267;13354175,2958197;5666811,20974621;8609132,23917073;45674190,2760222;18965682,0086796;10079137,9931265;-283750,373287938;4991792,21693833;-819659,692931795;-13603797,7623623;3083817,57120664;22678113,1320745;1375481,77503902;1443827,07080145;29514405,9874131;1313003,52768274;0;-17332,9368351813;-30998,6608988237;14224157,4865559;26021413,3042643;1500018,24609292;-132612,102020962;-15621939,972559;3853348,16189569;1242721,44520279;33893684,9998387;691308,267562983;1272206,72393884;3649116,92831879;-164006201,461156
"México";10703999,7808043;34655621,0306062;44705860,0446483;-3249757,63103003;142390846,342721;316518449,809889;-2322765429,9133;-3160689,55423655;13512840,0487193;741489476,059197;4955273,44666373;21393294,249454;375686,030759843;18886489,0994086;216513680,680476;154821107,164549;1582649,91430695;17669414,3589443;-46182309,103072;-581213556,227922;51942478,0555804;300310899,736169;941146527,107083;530068617,879772;470304,601273843;3830275,75325563;17332,9368351813;0;6945746,54684347;69907943,1195801;4248682,36744279;-4643695,09664515;-2921023,89653582;6758577,80487093;4405319,6746447;4053989,44314163;72408073,2547995;3756161,76254153;198222940,759772;1710016038,35424;-4272434125,0822
"Malta";776213,385875002;1486910,879518;3615504,98462202;-1717047,00067891;-2615651,54364859;-182410,036355482;-45393397,5975187;-58638,5416745793;-52107,9155620409;9776664,36758636;1290214,28394797;8702684,85987291;-235931,911025912;-365547,992155879;21816138,1522743;17587491,1015833;498491,979208914;-2708069,78111397;-665738,582250662;-7940188,65740074;1490992,69288609;64395615,5303949;-1890633,3877351;-262445,786912115;-102318,600586628;-8022,87249959934;30998,6608988237;-6945746,54684347;0;4179356,69427014;-609494,735076756;234956,866227283;-952945,583902892;-2328923,8696731;-90070,4993850255;196185,428869444;481863,275207619;1151001,15021025;2364928,3252472;-636102,540322334;-75219666,6693233
"Países Baixos";-110892360,60674;-68910906,689513;-818054224,711011;-23319203,3299812;-466223133,933113;28136152,3965878;-2306298140,63115;-15070281,9406489;-122509933,673416;-993142601,568914;-34967240,8816427;-332125599,351747;-9924621,0505982;48293076,2473381;-229704630,101588;-482459669,027668;-128081675,852318;-116121720,002066;-266003099,958133;-1317024637,16701;-26391307,9886301;-676418372,042764;119324672,152108;-81608210,3001212;-16829450,7747445;-1965614,8610668;-14224157,4865559;-69907943,1195801;-4179356,69427014;0;-151762427,734878;-103853227,62478;-63745600,1758139;308933839,580924;-9059314,34592573;-36853963,0170742;-53153668,3693724;-116472463,184992;-64457967,2024639;-76697069,9394271;-11728113875,4553
