"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Coreia do Sul";0;15338382686,9575;400234,719042281;28493009960,5043;340641,490311973;17558146609,1425;73751551274,6402;1702198,43276;43327,2348600727;33671,7418881198;25445415330,4625;570972,82196;11244905,7373566;13587177822,9442;403518,709192116;306433731,11745;16928926166,1619;7397867,20166349;9615895051,36715;285577,59450989;218234089,736132;111858,117577884;1221345,96243688;1131225,6108;188031,166705955;1292711141,39978;454045,138059501;23928280863,4061
"Lituânia";0;726838566,441091;13149,1728723079;998411591,725093;20722,323001546;-288029361,362789;2697978616,03084;41976,20316;64274,0031952628;42063,1027235749;1753234285,45781;19067,48957;947200;453749715,327051;10787,3572310856;16040,8825102719;1490197511,19403;803100;396688099,653775;9430,78550958738;13486,2693101923;7025,63008891441;30138,0297615792;22908,71359;3430,35698438921;77158046,9341225;151940,119191433;5152505728,15245
"Luxemburgo";0;227955988,25459;15837,2409198174;557926171,823204;17174,9399988115;231123655,446821;469836599,500514;32176,32428;14601,9351188772;10738,8701420447;228381980,196782;14699,90876;138300;96608763,0672362;8996,17574189626;5164,96725319905;215848845,561174;131200;92419777,0770671;8606,09876594248;4969,97004877747;4341,18936810374;28822,0970942803;17476,41552;3591,47577743641;10688234,8044566;154352,368920976;3988419262,59828
"Letônia";0;367109647,886657;6680,93566880353;712783752,603075;13386,1039790255;-149790546,74773;1587032949,32268;30375,59398;52246,9766473577;29271,1158360564;838459293,202901;11346,12886;604400;214651345,968752;7333,21364211001;1680,3190317267;762330439,836953;519900;191478855,190327;6541,56323464994;1475,06028957797;2774,89803788999;26185,0100348474;19029,46512;3065,58115697343;48965074,9400168;121048,746253452;6878420509,90518
"México";0;13763978546,0871;243599,7147624;14602823975,3396;267952,721098171;-960669994,970661;79098506492,2308;1101807,53607;71789,767180541;43108,0279190556;54502262313,9136;541335,6917;25304706,4189289;7713320911,7864;178930,034244893;503005,581148905;39351809196,2106;18144255,8368337;7014293858,91829;162714,329500044;447070,339753153;339225,454415107;963701,658713034;560471,84437;103090,432580465;1950538533,19725;440179,260314575;9622951196,87064
"Malta";0;106467337,671189;3293,37422479132;223993238,128365;4997,16640436855;-8372326,01010736;251419514,70658;7338,1472;34261,9884630524;27309,4700242168;128345935,249053;2877,72009;68043,3320776585;48148031,1782963;1763,05256512121;1006,57814383653;113137545,429573;59980,5171794282;42442715,8850687;1554,13912637017;887,303366917972;775,944964878786;5655,74896555284;4460,42711;1233,13647753278;8629563,4536915;192281,03711019;5157109508,85474
"Países Baixos";0;9451298748,43812;349665,732520605;18754664260,1863;259622,315764448;15956938999,4887;18846706321,2854;773289,53175;24372,1213691258;22040,1103755715;5249601208;332718,64128;3630981;4398143077,2811;199551,771853005;110397,970440946;4408895666;3244576;3767469886,30215;170936,97908509;93615,1599295907;98647,0933169948;429315,731227226;440570,89047;50174,1336836337;154531264,222998;256457,146104563;21157360806,9754
"Polônia";0;7696642852,61838;157962,06332587;8675958972,18173;161575,604808271;712300887,686208;30961583030,5724;530374,24421;58376,8600541494;38070,7572171359;17088460523,3119;200686,47624;9405049,5058061;4763510073,50006;125122,546061573;191997,463382419;11326073682,5578;6798473,78341885;3230719861,41457;84860,9299517794;127257,281733645;54098,6593684269;388177,191411067;329687,76797;35303,692383587;628879649,161189;229982,041257445;9728119448,55203
"Portugal";0;2111015136,30148;55865,4760198701;3789878775,16471;76263,0295911334;171628279,013963;10188091884,9263;235057,31767;43343,0109128937;23617,2087830807;5006548433,76241;94821,7294;2799913,4479272;1528311054,02584;64711,7560785049;33421,5144637624;3871373298,43267;2207090,68930041;1299726763,04227;55033,0386194236;27040,0405248119;19335,5609514951;162588,222745462;140235,58827;10606,6269954558;140527879,396569;206942,940846748;13021457725,7693
"Romênia";0;3181922788,42803;38058,631169999;3051717983,52399;64645,4272007101;-2094781534,29395;20515518096,1925;210296,82054;97555,0559609638;66178,6020743532;12570825000;93288,48061;6800400;4443955233,19388;67150,9384287234;5449,38353788023;7876027000;4076800;2710630539,79587;40959,3200042275;2712,86734549863;19476,5070312765;209569,502550445;117008,33993;13333,1067939333;470875380,974179;183150,870292262;7233691057,86925
"Federação Russa";0;13287036263,5477;256600,67583038;29018979596,593;231324,681959644;17599661026,9446;143262042071,481;1388712,24098;103161,79107803;106617,433889694;96504218395,0272;636224,80408;51149165,2472063;34488182825,2283;323476,01669826;618857,610705677;78653779285,9751;43469891,6751799;29399948579,9344;275751,793185638;509944,932635002;261061,83653174;1386864,83570465;752487,4369;230831,041458166;3303788871,63174;272351,303767102;36886705120,7013
"Eslováquia";0;2134384162,92677;54711,2244605994;3082949359,1445;53109,2424300557;1066940370,66416;4749722056,71797;115882,49969;40987,3973155918;37324,951001327;2096466000;40407,74406;1199127;491492099,419161;13167,9234997974;7721,75095377666;1787753000;1070707;420660384,065892;11270,2193246265;6740,22053462264;22559,2071702026;90734,0137374762;75474,75563;11434,674783879;96381854,9542402;208513,02811657;9270872730,57671
"Eslovênia";0;893723301,662899;26673,1260505779;1246944677,91815;27308,3680367546;306281473,37517;2234759371,70989;60161,20994;37146,1839603735;25880,6067909543;1048541086,05704;23231,04807;569062;415274035,515411;16045,7611705054;6091,3197804058;801604307,358371;455655;326899811,063943;12631,0721268792;4811,46786546674;4835,18026949463;47533,0829556069;36930,16187;4683,0057883085;46085489,0335996;160253,84855744;5959417910,69288
"Suécia";0;2953429625,5185;176590,080820558;7063877716,71643;148002,198157543;6222891010,51066;8920958430,68022;487792,38506;18288,4331611346;18329,1441125618;4063590000;219351,0134;2461700;2577099151,66229;140601,172418961;994471,557692842;3818090000;2344300;2447126985,0076;133510,161193532;949500,092888725;59302,6321710385;314018,573557238;268441,37166;31922,07506618;135554148,919794;183755,569624507;7883974912,14896
"Turquia";0;6924555816,87309;119002,2018702;12540563494,3047;157062,737338507;2803602519,51842;47671411757,8197;778101,84693;61266,2878849435;40787,8395252436;24472765612,4533;337139,19206;12808883,1391964;5703724084,19719;139838,838011196;5124,85185454369;13639146069,0451;7059637,44323759;3563546611,93179;87367,868791538;3530,18378614334;161393,534748804;916080,229261735;440962,65487;63080,5350118743;1271000489,32202;277193,718648311;20191492592,332
"Taiwan";0;12686126044,8849;266804,648680108;14470421806,8706;211535,890111192;5868267249,98833;30042630088,6892;570304,43507;52678,2333106031;34213,4495957784;12094064596,8221;152854,9065;5461844,06501649;2729772570,54753;79786,5343249209;2240324,36592745;9857213199,45815;4435294,32099528;2394872335,23554;69997,9792605023;1957669,58947216;60182,5216050791;428908,112397317;417449,52857;114358,122503679;1298657340,34445;437068,470490063;17604820163,9238
"Estados Unidos";0;22720816365,5566;1058951,05260713;188855195868,227;1916979,32028862;102732141568,524;229737888288,243;10282550,29785;22342,5008031596;16970,4347530525;101523524686,793;4415821,00361;51075491,731625;46525084405,4281;2741537,56709501;2330296,87891965;92554633718,3217;46774902,5564203;43008317408,3809;2534308,52150943;2193814,18590548;1620522,58086499;7959890,51007187;5866729,29424;554494,725090985;3202339019,91891;319891,60549673;19804603468,6148
"Mundo";0;311631786731,984;2397818,12122382;155984701675,485;2293592,70159339;-147945561571,671;2102476668370,9;9095962,10913155;231143,956312241;187165,661974405;1459011161892,88;3942426,48415527;0;0;0;0;0;0;0;0;0;0;0;5153535,62497628;406819,021214995;52904619401,0081;289638,497300985;7501838390,16492
