"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Irlanda";-41725,9880490775;-9161,74525647812;-174284,052363826;-2836,48892404327;-16577,6479982086;-26752,7357213216;-215316,539429352;-1104,45144182085;-24241,0146246097;-429338,246335436;9708,15536304649;-128246,361826819;-936,202051272394;-9516,6975642539;-172506,109975321;61318,0174412519;-14328,2525841527;-2089,67034028284;-8065,60143232968;-59607,7853107325;0;-131083,053383171;-81487,6335727859;-10067,2582458495;149,581304766304;-1460,90584748007;-917,899054907725;-21681,4027120803;-838,93830824243;2815,59839292165;-10097,1648363318;-22416,8543366417;-8945,61729487783;-19544,084937005;-6393,76024527108;-2488,88790754316;-28029,7536920977;-2547,50755605545;-15085,2279572406;-412909,474904592;-1052228,33193467
"Itália";-104935,66003343;57605,4132841621;217999,625388796;-61392,0345943153;-177230,01373213;-91848,7236435064;-1614209,3197031;-22799,2148877812;-33189,0716502589;652123,713063542;13330,1219326115;-116261,474712261;-5488,19449624247;8532,64282472746;-136327,233815317;-136788,480311992;-238640,530454838;-14650,1240972124;-192230,517252856;-746595,78043113;131083,053383171;0;-86033,3307047294;-60402,4290239753;-14725,9737220091;11829,6958701471;-7345,74037704325;-108070,897407934;-23095,3707935539;358644,183019638;-118970,998256885;-69374,9747080296;-255107,125397632;91261,4419871725;1029,70559813063;-55327,7999594334;23245,3254360059;-188094,17337745;-40103,624811778;-534804,517212603;-7315176,80257782
"Japão";655333,129615959;138,004425326988;-100329,558632398;-7850,69575564716;-178046,791341484;-31788,166241486;-9735816,53944009;-3141,50427387765;-67349,6868042895;-94800,9048943896;60238,9876233291;-48322,8617732895;-3349,39320521297;19097,268697991;44908,8856027079;-156812,072177114;-14363,1098891919;-35430,017519787;-661845,887280501;-866219,929128391;81487,6335727859;86033,3307047295;0;-967274,677066733;-299,545228937211;21,9512669442029;322,998810100385;-294295,581583835;-400,353133247535;-130388,147659848;-66927,0019212114;-5264,42916062895;-15967,5809928504;-328042,780484154;-12573,9495029055;-5032,86845813266;11806,4992887754;-51979,0810927726;-679081,655077177;-870516,961304213;-14112726,5267691
"Coreia do Sul";412483,268667461;17909,9497345648;-19156,6391763716;-3989,99094704827;-122103,279465619;-1077,00264897119;-4159345,25198522;-640,991233322857;-16921,5392566088;108182,456558566;-10626,5348346179;-26355,1328589695;-1086,71393590149;29772,0940450352;38900,4235489867;27875,0084415187;-90683,0055605614;-27893,1117996913;-84079,5849705968;-427099,00473472;10067,2582458495;60402,4290239753;967274,677066733;0;-213,047597345793;1357,24746736582;-317,822182244474;-189725,866865605;982,317822795821;26478,6799876789;-73148,2934853657;-6861,76615710122;-12355,7691600681;-167998,441975663;-56214,8145524932;-3189,43465955589;24426,6763866946;-71152,1201767392;-51763,207915784;-58533,5051586654;-4968253,17631661
"Lituânia";-556,542196382299;1372,97564912313;7306,9178054292;-870,77780899708;-1043,21167822424;-1939,22408412873;-18639,9421946369;95,8963505788366;4338,58034792697;34347,7116326002;9874,0585373283;3040,72195946007;-4178,69907445626;10569,6380363945;-4098,39133383937;1021,45463479689;1073,93223102185;1153,3430243076;-14993,8941436464;-7016,94627092752;-149,581304766304;14725,9737220091;299,545228937211;213,047597345793;0;-205,857120176736;-6476,79237870293;-1124,28995353814;354,384558865474;4919,89451272747;8550,98382700459;-259,155886918744;-389,316071968084;82947,0630237643;1840,47183741776;282,219889381687;6194,15899406889;2012,49144056229;397,672777102863;-6917,33373933224;-156065,07481999
"Luxemburgo";-1208,53261190751;-1960,77908473721;88586,9570034874;-364,301825155252;-932,608549774504;-1221,65708210987;-25445,9104265663;-165,854533414134;-2030,83372367409;12368,6737234711;-2495,29397464614;-3751,85545039033;-320,116945956559;-2095,74817560662;-9979,31322063807;-11314,152975744;-3358,11934488082;-1215,73918110637;-484,406250522702;-1783,62225470279;1460,90584748007;-11829,6958701471;-21,9512669442029;-1357,24746736582;205,857120176736;0;-306,123707324829;-2122,24118713202;-60,3994077990452;8865,45823734065;-3484,37466117497;-1547,4901490662;-1395,99634339346;-4172,73510032531;-821,127437478209;-839,25740137046;-3302,777273895;-3354,84927707749;-138,231251563418;-3963,5140316256;-65008,3553936405
"Letônia";-11,1896705461365;957,713451126805;2799,42247084041;-19,1011900968846;-156,073346899378;421,686737006163;-9450,28152012829;431,662573978955;2224,92955214503;25122,3295411946;3567,01297099455;3169,12634880658;1344,17990323622;7408,31125179784;7055,68905073249;385,680768106011;-199,165441696618;1977,03487909158;-468,621482756566;-5639,96286459093;917,899054907724;7345,74037704325;-322,998810100385;317,822182244474;6476,79237870294;306,123707324829;0;-70,7402357352889;-13,9791687491363;4637,86019341996;9729,41013317655;337,317998080644;-98,7508487357405;7282,01683889778;899,898377203814;988,060725738449;5246,8705306764;-197,359290981424;283,954764743654;1279,88702863186;-86233,1543784002
"México";9721,986720402;13548,0847069817;18324,7361911587;-706,886487846351;17962,1317768708;161554,62663694;-578163,825927326;-542,525315933134;5239,82951774433;299314,478870465;8490,28816531886;27519,0152587265;371,107152086428;7637,34756284974;83676,4486556602;58062,2553376212;943,048466342728;4373,6199625843;-26802,8408363889;-165017,699527475;21681,4027120803;108070,897407934;294295,581583835;189725,866865605;1124,28995353814;2122,24118713202;70,7402357352889;0;2110,54090444877;34857,4362885931;2535,15165588319;7872,53843976985;-545,24175139702;2257,37276935133;1256,43233685164;1358,41297016461;23451,4918489886;990,857214655471;74096,2047907022;1440415,78867305;-1723230,33627869
"Malta";-44,9589874498358;412,550984487372;1368,35749346988;-1276,14942914081;-925,025089165038;3248,12241927826;-14504,3624213936;-10,2449977532753;-40,404397306744;6918,56687202485;-120,942808064195;3682,01111012395;-22,8605424216027;1506,48619042563;4444,49180825335;11649,4739885738;1365,90075178929;-109,757538129195;-389,270751787182;-3583,35048319371;838,93830824243;23095,3707935539;400,353133247535;-982,317822795821;-354,384558865474;60,3994077990452;13,9791687491363;-2110,54090444877;0;4480,57093006385;-687,505265009481;-241,770715502095;-2447,66900613935;-240,777340163007;-0,169086875520151;106,465140839372;-226,223437554039;401,096330770086;515,141174995426;-2084,76152102252;-35820,3575199673
"Países Baixos";-34165,5229376741;-24549,8969582275;-304154,61793728;-16240,6562181051;-124191,976895817;-11025,4965171576;-977928,333528138;-4708,07160422079;-26159,4991053859;-192398,638633198;-79907,5666917733;-131499,603778726;-1018,19112547933;33268,2724088861;-39484,3111231825;-160412,292738873;-57354,642942718;-54129,1185995459;-209076,193733788;-436219,061945693;-2815,59839292165;-358644,183019638;130388,147659848;-26478,6799876789;-4919,89451272747;-8865,45823734065;-4637,86019341996;-34857,4362885931;-4480,57093006385;0;-92494,9466164424;-58919,92496692;-51082,6998811718;131998,367755835;-3086,1502618832;-5506,78687006263;-49777,3887142304;-36654,9258628852;-24506,6031188383;148464,205625482;-6672626,60336323
"Polônia";-55,9657726259084;40493,9139724719;36084,6705786022;-11587,6999285823;-835,455097486587;-6869,11290558515;-501322,328804959;96,5095769178852;6969,89961068524;513629,457819815;43103,7008632128;30109,7555337612;-3137,439215599;44710,3132049592;83009,3975497835;5124,66133841418;-6985,84774430856;10140,7822155502;-32017,7973242891;-184055,072600332;10097,1648363318;118970,998256885;66927,0019212113;73148,2934853657;-8550,98382700459;3484,37466117497;-9729,41013317655;-2535,15165588319;687,505265009481;92494,9466164424;0;553,099309391499;-29058,5397200784;60070,701586011;37431,6141176757;10936,7194954896;-6717,11306785414;-25415,3269030513;11318,8354479663;92506,2076474607;-1774556,43148252
"Portugal";-2375,89454335011;5171,78603165344;30063,5379477602;-5754,5612439981;-23601,6481041315;-2797,05024223789;-80138,3166572498;-641,961219802682;1025,26040504671;143392,744254817;7687,53366801541;394509,192578186;-155,065946427993;10877,3848563564;69259,0859610617;2446,61207522395;-1645,3160649;4343,47972953849;-10346,8237982594;-63377,9527434315;22416,8543366417;69374,9747080296;5264,42916062895;6861,76615710122;259,155886918744;1547,4901490662;-337,317998080644;-7872,53843976985;241,770715502095;58919,92496692;-553,099309391499;0;-11249,4501113385;-1015,38600216864;434,766644308526;-226,334045712421;7023,78640725064;-3949,29298785188;750,027547047321;-16769,9732118632;-802060,272240006
"Romênia";1380,78409792547;74078,6276008607;30911,4106840152;-32270,1828346423;-7414,68846780677;8905,79791977401;-69082,286649375;4919,68708583953;26086,1990771525;288368,561788914;7466,18992147053;66213,3720564539;287,832813524867;5181,37972297358;132211,877251136;47089,5640120786;18392,4038333526;63734,401755459;-4734,60946675927;-43165,1258397848;8945,61729487783;255107,125397632;15967,5809928504;12355,7691600681;389,316071968084;1395,99634339346;98,7508487357405;545,24175139702;2447,66900613935;51082,6998811718;29058,5397200784;11249,4501113385;0;43887,8336834836;16925,2351337803;11172,4638830975;6478,33744945265;42602,7273599458;2503,43327562463;19666,3330319146;-245241,524573136
"Federação Russa";17388,3223691583;45516,1774025954;30368,1910987078;-61472,7178442002;-98718,5663600234;28135,8062643966;-2614407,10470064;3018,61932211831;44924,9317776127;483857,247421632;37304,3265720619;5874,20104057249;1632,02329679094;19139,5831068602;-7222,20144933369;74882,3239704139;-68633,3264264375;-22101,7999806384;-107518,890292274;-744210,595946347;19544,084937005;-91261,4419871724;328042,780484154;167998,441975663;-82947,0630237642;4172,73510032531;-7282,01683889778;-2257,37276935133;240,777340163007;-131998,367755835;-60070,701586011;1015,38600216864;-43887,8336834836;0;8010,78545249283;22994,2624198971;11104,3529007366;11589,8567593951;-22278,0601705879;23207,7436613272;-15909443,7243743
"Eslováquia";-1160,04943531673;-18444,5457418175;2754,02065065546;-5015,16029248623;-2577,48767598813;-3424,19959318156;-98559,8155331218;281,966403067607;14412,4579097288;43375,0987110895;3025,7876654545;-12924,1498428637;-446,994342110691;-797,78185652719;-6625,54119923481;-22288,369330113;-1219,11051588474;-12527,3794371869;-6263,53590869874;-31901,8995546836;6393,76024527108;-1029,70559813063;12573,9495029055;56214,8145524932;-1840,47183741776;821,127437478209;-899,898377203814;-1256,43233685164;0,169086875520122;3086,1502618832;-37431,6141176757;-434,766644308526;-16925,2351337803;-8010,78545249283;0;-2175,74686737438;-12627,3823213917;-10065,3157447982;9493,9685621254;3968,55633019501;-745313,025815334
"Eslovênia";-685,816614430592;22895,3433672851;5699,55996133823;-4204,2387745625;-3039,58350740116;-323,319935135863;-43852,7997226532;-143,572915700456;-1972,00034806364;17809,4507810129;-1138,46492413253;13334,8193218629;-382,026089460108;894,179819117926;-14027,8223605148;591,11362603767;-863,003088703117;-9324,20606933105;-3367,64829685109;-19706,5297170333;2488,88790754316;55327,7999594334;5032,86845813266;3189,43465955589;-282,219889381687;839,25740137046;-988,060725738449;-1358,41297016461;-106,465140839372;5506,78687006263;-10936,7194954897;226,334045712421;-11172,4638830975;-22994,2624198971;2175,74686737438;0;1780,14349560716;-595,801542169071;1237,92203983692;5273,9982080815;-397554,915519136
"Suécia";-48037,5567785927;14062,1947060697;18195,8879733091;-5336,21044645226;-41017,1397963854;-36526,8109865555;-411285,17016409;-1407,39968923338;3687,87274295246;182194,753978452;97486,9344061026;-45688,2790865481;-2526,72838131749;62208,936718056;11324,6317341116;-56904,5430949887;-13821,5111411099;2942,96319442079;-46486,2833130546;-126190,936829585;28029,7536920977;-23245,3254360059;-11806,4992887754;-24426,6763866946;-6194,15899406889;3302,777273895;-5246,8705306764;-23451,4918489886;226,223437554039;49777,3887142304;6717,11306785415;-7023,78640725064;-6478,33744945265;-11104,3529007366;12627,3823213917;-1780,14349560716;0;-21551,1134146029;-6218,64871739476;-135523,878039801;-2283191,67933865
"Turquia";13,9590416680658;11304,7960663835;35076,7815746161;-49637,4377001867;-20966,4133984037;10719,8769920981;-1228641,05428946;607,691254802907;21328,551425034;268111,98723297;20663,6568884066;124724,985255157;-722,644467248039;10006,3972543645;128484,37605098;33644,7069535936;5560,25040493907;9421,97933350545;-224824,118472526;-1173077,89024811;2547,50755605545;188094,17337745;51979,0810927726;71152,1201767392;-2012,49144056229;3354,84927707749;197,359290981424;-990,857214655471;-401,096330770085;36654,9258628852;25415,3269030513;3949,29298785188;-42602,7273599458;-11589,8567593951;10065,3157447982;595,801542169071;21551,1134146029;0;6691,69559697032;69450,7327000849;-7194323,79356793
"Taiwan";171607,286540676;3907,20025637479;6731,58793701174;-1839,49319213284;-67219,2544224432;8,74158122255176;-2351618,42471584;-508,53627661526;-12596,3923441573;99203,7479607629;2030,06813598835;-11290,6162433989;-727,557439033977;3815,90438915603;36180,4815209111;-11955,1404754201;-2534,87420223958;-14388,5614302319;-20818,5025093805;-327002,28677463;15085,2279572406;40103,624811778;679081,655077177;51763,2079157839;-397,672777102863;138,231251563418;-283,954764743654;-74096,2047907022;-515,141174995426;24506,6031188383;-11318,8354479663;-750,027547047322;-2503,43327562462;22278,0601705879;-9493,9685621254;-1237,92203983692;6218,64871739476;-6691,69559697032;0;118879,040959692;-2060017,29117389
