"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Norway";0;552424,108441959;82569,2140222751;1788030,27493132;40496,2781688334;4117652,16892522;2507971,03751737;218355,339829;11,4857325654662;42,0929924120727;1296000;125420,5611168;1296000;2551763,18115915;60622,0426473475;611867,785106524;1,601e+09;1179000;2357547,32211982;56008,0713445226;568163,916127027;57232,3834851143;264794,875303101;92934,7787122002;51534,6651391355;0;77309,8409877379;0
"Poland";0;2985615,53597378;62209,4725541862;2876309,41199886;61565,2468477061;-65175,8990603779;14418455,1355975;240547,006917417;59,940280780744;40,1793867832397;8905300;101322,871447587;8905300;2292723,6276822;57062,185643873;308132,200474774;12358689000;6058700;1890298,30499702;47046,4697531305;251188,531146077;33941,087964512;179341,378031931;139224,13546983;10744,6361879347;0;95185,6499085253;0
"Portugal";0;844325,243891262;25403,3035917452;2328840,48876159;44706,0717813616;162252,731728421;6346657,21529622;166571,263526386;38,1017534533551;25,4782294697331;2941910;70592,3653411365;2941910;1226476,19718517;48138,2035844431;49198,3870913135;4088798000;2192490;1024478,5971564;40209,9603653161;41973,9306684292;15586,4599767235;114753,032350832;95978,89818525;8245,23635826001;0;81245,6080500517;0
"Romania";0;1900788,67688017;14951,0074558382;1063628,49117204;19955,5859990335;-1179979,75110607;12672936,9820255;78196,4362580814;162,065403341393;36,4097732611998;7383600;34306,847679035;7383600;614554,981891651;16878,8467174157;129615,199141255;7596654000;3899500;521526,526682939;14323,8059446722;115807,181401166;15102,4664115759;80196,089658745;43889,5885790465;4927,76634243533;0;88800,6517896021;0
"Russian Federation";0;8602724,2715798;101421,390398984;9731852,59942659;81158,3576024439;2517170,10539056;78057892,7656736;469748,32379088;166,169603620391;145,897042182641;51816809;209751,121040183;51816809;16997247,1525833;116501,656910257;10287575,4947407;80384884000;44189848;14237752,2738219;97587,6690906344;8819474,6449418;78577,500981064;751604,691590976;259997,202750697;107445,922193227;0;132234,926194608;0
"Slovakia";0;579188,608973396;15427,5329956685;664094,835154324;17451,2152321769;-53718,4070095413;2302153,0797482;51546,7444704452;44,6614641409248;34,3823418508343;1201540;17769,7111358658;1201540;273279,256572654;7948,24441448052;11272,7828691735;1759062000;1095970;248621,258494319;7231,07400807503;10224,0051134328;7998,20178756212;79232,0379885781;33777,0333345794;4925,43115771834;0;91571,1959608363;0
"Slovenia";0;302891,608530638;10940,7889361097;495504,521143666;12042,0867097999;117172,709029141;1096650,47703789;33419,195884053;32,8149869566787;28,5454079627389;559990;14249,1069739162;559990;271284,281607636;9503,60499179943;9505,85692922144;719997000;440250;229887,257057735;8053,38838939744;8174,84972277428;3732,45111809603;35341,4388770356;19170,0889101367;1937,33545496375;0;73444,9874920833;0
"Sweden";0;1192754,8442094;102550,05318609;2972038,00017948;81922,890219747;3192268,28198617;4472225,08452743;321310,831812;13,9186875814512;34,4959971156586;2427000;155339,992238698;2427000;2992932,25859798;86761,7262537226;827213,517987046;3657970000;2306000;2845661,13126055;82492,5025857226;785783,896637791;61520,4774182774;283826,15058;165970,839573302;19147,129970764;0;84424,2588369692;0
"Turkey";0;4088950,05574531;71008,1088675041;4402113,27085942;61265,1799553343;980565,400242079;27857494,4010107;383677,587252735;72,60651997027;40,0131135683694;14286949;161139,787903179;14286949;2730416,61448789;68238,0442557286;170859,546312454;12486785000;6426548;1598424,47714259;39947,5155666504;96973,5886526656;80947,6983319667;516744,253694182;222537,799349556;44015,4284501468;0;112624,850568922;0
"Taiwan";0;5775248,57225939;149468,867024047;8243418,50610879;120772,999655892;4433870,88048438;21166839,4973283;413490,092393515;51,1906811957758;52,2314789000096;9018385;149339,935467258;9018385;13026273,5288049;249395,07368233;8942837,03882187;7966211000;3691089;4157783,27509297;79603,0164692925;2622082,40060549;-108733,705590053;386111,621681337;264150,156926257;67172,2643267653;0;193133,249818358;0
"United States";0;7758223,00931591;610371,789565843;100818615,473712;1157611,35575461;55573833,180703;116272878,702718;7840931,05260077;14,8289632854444;89,9292990378467;48458697;3640433,99360805;48458697;210889505,35394;2345058,92529183;2801646,2422831;81144629000;43952126;195055253,931868;2168984,48023908;2576631,59665733;1267382,99106134;6846023,07569109;4200497,05899272;380921,29901182;0;114007,074580438;0
"Rest of World";0;218565440,640162;1083993,80549307;59999092,1502583;1052241,00902323;-156391244,274433;1380127159,22158;4845151,40934437;284,847065162889;62,1080141856613;887418788,52981;1888201,339026;887418788,52981;0;0;0;0;0;0;0;0;0;0;2956950,07031837;133522,950774739;0;145543,969401147;0
