"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Lituânia";0;406696,759525595;5923,73174095318;598824,614293355;8335,29624927211;30342,5315245806;1551506,67529568;19233,23271;80,6680134686357;61,2521022257222;952900;8990,73719;952900;300679,344294663;4908,88203618904;11691,4370120453;1298518470,79038;724000;255710,472988056;4174,72158009743;9178,22854669776;3571,53454381096;14989,6529663122;10242,49552;1575,79367245246;80318521,4615025;105067,690370175;2226869961,00032
"Luxemburgo";0;119542,562386383;9307,41699867057;258592,906601633;10637,0156163763;49851,1785254398;242205,227326463;19196,01084;12,6174771073667;11,0006938030733;125200;9168,65862;125200;65839,1321276734;5984,99815614171;4795,40789637106;193001681,281069;118200;62508,6218099991;5682,24358653957;4575,32208926894;2479,65792385829;17938,591458429;10027,35222;2050,48222559832;10048957,9852364;95539,4192773216;816504590,568053
"Letônia";0;217540,105242444;2866,80057044257;262940,789989347;4755,30457472532;-81293,9277027991;919393,378610792;11262,52067;81,6330025533079;49,3457203721417;574200;4372,16652;574200;124657,72230946;2526,21141953853;1088,68880266069;699882188,293198;475300;110964,841417335;2248,72269733813;946,683926490625;1367,43135046147;9679,20681003996;6890,35415;1067,41506211516;43602505,1069695;81252,5615120104;1160789471,18708
"México";0;5864006,52526555;148783,572699593;6481882,34300312;162768,050901745;-320304,902088774;35560662,1878722;718021,9086;49,5258734614497;30,8779215010569;23717879,0060685;357164,01199;23717879,0060685;4271856,44928936;138346,632209138;501981,553729065;36407405116,9195;16661745,980376;3850140,39045493;124689,104813067;444581,910770423;200064,686880862;730030,940273007;360857,89661;68875,7598368965;2044073311,1165;322894,418973159;3826291625,14043
"Malta";0;53282,5618493541;2063,48149695408;143015,721928739;3019,86336096302;25572,0943152935;146160,046375436;5102,95848;28,6422174407808;31,564585716972;70486,4005830632;2067,82432;70486,4005830632;42859,5800347668;1357,83755944313;1014,02927451335;114817557,246253;62380,23158012;37930,5866930289;1201,68175287135;897,412556889215;510,445440556867;3653,9290599183;3035,13416;1051,49584748491;10330033,262293;139301,507285335;1634498925,9733
"Países Baixos";0;5967366,09999156;211154,739458062;12386427,0820859;154000,226406618;10253402,2725457;12643721,0833611;500662,31214;25,2539901182446;23,2212208345718;3591950;227177,20598;3591950;3425037,66877942;147496,020695011;103395,131979902;4463235968;3222027;2957575,3666511;127365,197020471;88329,7909676983;58829,1962549892;340355,665501373;273485,10616;33964,4001424728;172710405,18687;148061,527675522;2988123291,44576
"Polônia";0;2975188,40141855;64303,5446931398;3210449,60117271;65267,8281266665;170570,039118411;14659255,9887129;242183,74049;60,5294804641032;37,6665545852985;8742970,75660084;99449,94879;8742970,75660084;2880539,62904941;76474,7309851828;195780,281360132;9913591702,04207;5940551,60543916;1752118,71605298;46516,5645051284;105494,023627874;13306,1445148172;216751,48755153;142733,7917;15751,1716012417;515792899,226039;123544,650639717;2125444778,63578
"Portugal";0;1155517,67490267;33798,802835552;2447985,11289618;45931,5015652523;478517,581364973;6165274,1685055;158880,67647;38,8044305039804;23,8530133025029;2899924,62774983;67514,16664;2899924,62774983;1147814,58444141;48120,3179608748;32175,3544044543;3699246484,5119;2125840,4261433;947274,180700767;39712,9775046648;25913,7831245778;12223,4774791252;105382,138749438;91366,50983;8248,17631647098;170368971,935589;114127,085293365;1196249348,88686
"Romênia";0;1951105,16416478;15444,504479999;1105430,00652991;21600,4840488973;-1258663,1332818;12166669,0282367;77892,60823;156,197992398857;116,848777527532;7475000;34006,75778;7475000;3447840,3199431;29506,8582906715;4819,6167794057;7682013000;3946600;1671802,55745077;14307,403062534;2118,44442510573;1998,33249932853;81447,6952878098;43885,85045;5068,67969970066;590738314,018161;111521,571151417;1840040612,24991
"Federação Russa";0;8762260,58296444;99868,0830109317;10709390,0186303;80591,6654657725;3240332,0154667;76862042,1745374;469759,85658;163,619860441285;154,078022682032;51139712,0768474;209750,52618;51139712,0768474;18416789,7480337;119528,985558441;555982,907714887;77744763336,3622;43524419,3706752;15363228,8685458;99710,708906556;459629,318878101;75554,9584115589;570748,920795989;260009,3304;85242,5175631786;3780407003,83625;156738,365272004;4601540118,22064
"Eslováquia";0;805744,570952336;21832,5569375838;922338,71875311;21384,299973905;146666,491922032;2358030,40264332;53628,12221;43,9700348524158;35,6984739770143;1218735;17769,98567;1218735;225852,008826733;6326,6572395267;5231,7532616533;1819076000;1133264;204492,104357582;5728,31501114728;4757,11793455303;9409,6938604733;44018,1451776254;35858,13654;4877,59068999203;80148192,6074032;116411,34212961;1651276741,30781
"Eslovênia";0;411444,060405298;13467,8686883089;692019,272908908;13168,6921081141;300646,157969358;1205867,26273942;34517,4334;34,9350210592256;29,5409388924981;563624;14441,70819;563624;309463,436456549;10475,7481670678;5242,83326000807;774211743,375457;443906;239925,206444221;8121,78676234118;3947,36229606196;2549,34370293221;30366,5396001334;20075,72521;2448,70084280385;41425640,0256471;116871,00137268;1419027999,49136
"Suécia";0;1418557,13190974;106326,978556364;3588757,6319902;81950,1843495426;3805573,51903908;4897040,5027031;316617,12761;15,4667580357028;15,9732841059678;2443500;150983,28803;2443500;1620554,03630543;101454,029462856;845163,471866675;3691300000;2324800;1539939,45760585;96407,1913696513;805228,75407933;36615,9784671439;236461,825104834;165633,83958;21835,4200246032;137279602,115478;115475,36812616;1259187160,71649
"Turquia";0;3185429,45638673;53010,6411716442;4860786,85147628;64437,4519381204;908763,647704501;26511682,8280642;378876,48902;69,9744734666412;50,4293848949419;14033011,520097;164804,82241;14033011,520097;3383190,00284062;67087,6714020748;3537,2826322003;12292276794,7863;6326441,99422868;1983244,9219091;39327,1685950708;2297,94709053994;79944,8381279252;493617,216067184;214071,66661;34439,8187047465;1786182431,9987;147987,434873406;2326165411,90269
"Taiwan";0;5217174,89162878;162639,211808106;7967717,2372026;124624,439210073;5300850,35167225;14303624,3811304;382689,94134;37,3765360308292;27,432874668835;5123253,36212995;121065,70846;5123253,36212995;1755272,52085542;63984,2722297524;2101820,49394889;8786455708,05631;3962726,62155388;1523685,31378524;55542,3130889092;1815027,52354675;48713,1120002476;302421,838324729;261624,23288;65751,9342988984;1057571149,32396;257624,496038108;3888611419,42913
"Estados Unidos";0;8859887,30079598;665026,858032786;108689041,117862;1231354,45926019;61835770,8036546;117681410,510122;7801139,67432;15,0851561980756;12,9981435485267;49156263,9094651;3443796,95938;49156263,9094651;29428862,0502086;2264081,93911233;2056100,15419303;87759878532,899;44716283,5117057;27025429,2149826;2079176,08496068;1908272,00411733;1149283,00755767;6562445,84876556;4357342,71494;459965,264768352;3320710058,44134;148871,182584188;4193667328,29265
"Mundo";0;211286393,262904;1159432,48987407;51790500,7695133;1089695,31172078;-154817414,322611;1351201061,37346;4805764,34457434;281,162571547843;229,378962249959;891180860,170966;2096782,94164291;891180860,170966;0;0;0;0;0;0;0;0;0;0;2708981,40293143;183618,366853809;0;184909,669872956;5366283969,21167
