country;description;code;variable;versao;2009
USA;Financial Intermediation;J;producao_bruta_pm;Ochoa 1;2429350,5
USA;Real Estate Activities;70;producao_bruta_pm;Ochoa 1;2302772
USA;Renting of M&Eq and Other Business Activities;71t74;producao_bruta_pm;Ochoa 1;2868854,75
USA;"Public Admin and Defence; Compulsory Social Security";L;producao_bruta_pm;Ochoa 1;2946823
USA;Education;M;producao_bruta_pm;Ochoa 1;223871
USA;Health and Social Work;N;producao_bruta_pm;Ochoa 1;1687379
USA;Other Community, Social and Personal Services;O;producao_bruta_pm;Ochoa 1;958630,4375
USA;Private Households with Employed Persons;P;producao_bruta_pm;Ochoa 1;17959,80469
BRA;Agriculture, Hunting, Forestry and Fishing;AtB;producao_bruta_pd;Ochoa 1;216306,5865
BRA;Mining and Quarrying;C;producao_bruta_pd;Ochoa 1;85800,33799
BRA;Food, Beverages and Tobacco;15t16;producao_bruta_pd;Ochoa 1;310990,3794
BRA;Textiles and Textile Products;17t18;producao_bruta_pd;Ochoa 1;84055,98618
BRA;Leather, Leather and Footwear;19;producao_bruta_pd;Ochoa 1;25197,16043
BRA;Wood and Products of Wood and Cork;20;producao_bruta_pd;Ochoa 1;29594,82618
BRA;Pulp, Paper, Paper , Printing and Publishing;21t22;producao_bruta_pd;Ochoa 1;105169,6922
BRA;Coke, Refined Petroleum and Nuclear Fuel;23;producao_bruta_pd;Ochoa 1;113833,0902
BRA;Chemicals and Chemical Products;24;producao_bruta_pd;Ochoa 1;135319,242
BRA;Rubber and Plastics;25;producao_bruta_pd;Ochoa 1;55460,68696
BRA;Other Non-Metallic Mineral;26;producao_bruta_pd;Ochoa 1;49555,13364
BRA;Basic Metals and Fabricated Metal;27t28;producao_bruta_pd;Ochoa 1;151126,0325
BRA;Machinery, Nec;29;producao_bruta_pd;Ochoa 1;99848,97918
BRA;Electrical and Optical Equipment;30t33;producao_bruta_pd;Ochoa 1;91144,44782
BRA;Transport Equipment;34t35;producao_bruta_pd;Ochoa 1;186202,7647
BRA;"Manufacturing, Nec; Recycling";36t37;producao_bruta_pd;Ochoa 1;49171,44254
BRA;Electricity, Gas and Water Supply;E;producao_bruta_pd;Ochoa 1;100098,8058
BRA;Construction;F;producao_bruta_pd;Ochoa 1;332175,2753
BRA;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";50;producao_bruta_pd;Ochoa 1;0
BRA;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;51;producao_bruta_pd;Ochoa 1;0
BRA;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";52;producao_bruta_pd;Ochoa 1;0
BRA;Hotels and Restaurants;H;producao_bruta_pd;Ochoa 1;0
BRA;Inland Transport;60;producao_bruta_pd;Ochoa 1;173409,1219
BRA;Water Transport;61;producao_bruta_pd;Ochoa 1;8507,901533
BRA;Air Transport;62;producao_bruta_pd;Ochoa 1;15845,7072
BRA;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";63;producao_bruta_pd;Ochoa 1;0
BRA;Post and Telecommunications;64;producao_bruta_pd;Ochoa 1;0
BRA;Financial Intermediation;J;producao_bruta_pd;Ochoa 1;0
BRA;Real Estate Activities;70;producao_bruta_pd;Ochoa 1;0
BRA;Renting of M&Eq and Other Business Activities;71t74;producao_bruta_pd;Ochoa 1;0
BRA;"Public Admin and Defence; Compulsory Social Security";L;producao_bruta_pd;Ochoa 1;0
BRA;Education;M;producao_bruta_pd;Ochoa 1;322528,4252
BRA;Health and Social Work;N;producao_bruta_pd;Ochoa 1;232415,4183
BRA;Other Community, Social and Personal Services;O;producao_bruta_pd;Ochoa 1;0
BRA;Private Households with Employed Persons;P;producao_bruta_pd;Ochoa 1;0
JPN;Agriculture, Hunting, Forestry and Fishing;AtB;producao_bruta_pd;Ochoa 1;338773,6585
JPN;Mining and Quarrying;C;producao_bruta_pd;Ochoa 1;50515,76108
JPN;Food, Beverages and Tobacco;15t16;producao_bruta_pd;Ochoa 1;748123,2888
JPN;Textiles and Textile Products;17t18;producao_bruta_pd;Ochoa 1;132003,6297
JPN;Leather, Leather and Footwear;19;producao_bruta_pd;Ochoa 1;10546,06572
JPN;Wood and Products of Wood and Cork;20;producao_bruta_pd;Ochoa 1;94982,8381
JPN;Pulp, Paper, Paper , Printing and Publishing;21t22;producao_bruta_pd;Ochoa 1;275243,5389
JPN;Coke, Refined Petroleum and Nuclear Fuel;23;producao_bruta_pd;Ochoa 1;188937,4718
JPN;Chemicals and Chemical Products;24;producao_bruta_pd;Ochoa 1;406884,6111
JPN;Rubber and Plastics;25;producao_bruta_pd;Ochoa 1;296151,7522
JPN;Other Non-Metallic Mineral;26;producao_bruta_pd;Ochoa 1;126293,5269
JPN;Basic Metals and Fabricated Metal;27t28;producao_bruta_pd;Ochoa 1;931666,5114
JPN;Machinery, Nec;29;producao_bruta_pd;Ochoa 1;429785,2831
JPN;Electrical and Optical Equipment;30t33;producao_bruta_pd;Ochoa 1;708183,4893
JPN;Transport Equipment;34t35;producao_bruta_pd;Ochoa 1;845022,7597
JPN;"Manufacturing, Nec; Recycling";36t37;producao_bruta_pd;Ochoa 1;73848,20688
JPN;Electricity, Gas and Water Supply;E;producao_bruta_pd;Ochoa 1;330284,8587
JPN;Construction;F;producao_bruta_pd;Ochoa 1;1573417,887
JPN;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";50;producao_bruta_pd;Ochoa 1;0
JPN;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;51;producao_bruta_pd;Ochoa 1;0
JPN;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";52;producao_bruta_pd;Ochoa 1;0
JPN;Hotels and Restaurants;H;producao_bruta_pd;Ochoa 1;0
JPN;Inland Transport;60;producao_bruta_pd;Ochoa 1;589401,2644
JPN;Water Transport;61;producao_bruta_pd;Ochoa 1;131602,2304
JPN;Air Transport;62;producao_bruta_pd;Ochoa 1;53603,50043
JPN;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";63;producao_bruta_pd;Ochoa 1;0
JPN;Post and Telecommunications;64;producao_bruta_pd;Ochoa 1;0
JPN;Financial Intermediation;J;producao_bruta_pd;Ochoa 1;0
JPN;Real Estate Activities;70;producao_bruta_pd;Ochoa 1;0
JPN;Renting of M&Eq and Other Business Activities;71t74;producao_bruta_pd;Ochoa 1;0
JPN;"Public Admin and Defence; Compulsory Social Security";L;producao_bruta_pd;Ochoa 1;0
JPN;Education;M;producao_bruta_pd;Ochoa 1;816104,236
JPN;Health and Social Work;N;producao_bruta_pd;Ochoa 1;1073961,968
JPN;Other Community, Social and Personal Services;O;producao_bruta_pd;Ochoa 1;0
JPN;Private Households with Employed Persons;P;producao_bruta_pd;Ochoa 1;0
MEX;Agriculture, Hunting, Forestry and Fishing;AtB;producao_bruta_pd;Ochoa 1;84789,95067
MEX;Mining and Quarrying;C;producao_bruta_pd;Ochoa 1;30193,83624
MEX;Food, Beverages and Tobacco;15t16;producao_bruta_pd;Ochoa 1;121707,0765
MEX;Textiles and Textile Products;17t18;producao_bruta_pd;Ochoa 1;23262,87092
MEX;Leather, Leather and Footwear;19;producao_bruta_pd;Ochoa 1;6325,886735
MEX;Wood and Products of Wood and Cork;20;producao_bruta_pd;Ochoa 1;5194,857869
MEX;Pulp, Paper, Paper , Printing and Publishing;21t22;producao_bruta_pd;Ochoa 1;20977,94486
MEX;Coke, Refined Petroleum and Nuclear Fuel;23;producao_bruta_pd;Ochoa 1;21174,81194
MEX;Chemicals and Chemical Products;24;producao_bruta_pd;Ochoa 1;41883,54772
MEX;Rubber and Plastics;25;producao_bruta_pd;Ochoa 1;15183,19436
MEX;Other Non-Metallic Mineral;26;producao_bruta_pd;Ochoa 1;17688,82767
MEX;Basic Metals and Fabricated Metal;27t28;producao_bruta_pd;Ochoa 1;46057,82223
MEX;Machinery, Nec;29;producao_bruta_pd;Ochoa 1;14303,32547
MEX;Electrical and Optical Equipment;30t33;producao_bruta_pd;Ochoa 1;99955,03771
MEX;Transport Equipment;34t35;producao_bruta_pd;Ochoa 1;76458,02027
MEX;"Manufacturing, Nec; Recycling";36t37;producao_bruta_pd;Ochoa 1;20155,54431
MEX;Electricity, Gas and Water Supply;E;producao_bruta_pd;Ochoa 1;33545,3398
MEX;Construction;F;producao_bruta_pd;Ochoa 1;171254,1181
MEX;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";50;producao_bruta_pd;Ochoa 1;0
MEX;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;51;producao_bruta_pd;Ochoa 1;0
MEX;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";52;producao_bruta_pd;Ochoa 1;0
MEX;Hotels and Restaurants;H;producao_bruta_pd;Ochoa 1;0
MEX;Inland Transport;60;producao_bruta_pd;Ochoa 1;98992,7997
MEX;Water Transport;61;producao_bruta_pd;Ochoa 1;1776,305689
MEX;Air Transport;62;producao_bruta_pd;Ochoa 1;7982,295384
MEX;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";63;producao_bruta_pd;Ochoa 1;0
MEX;Post and Telecommunications;64;producao_bruta_pd;Ochoa 1;0
MEX;Financial Intermediation;J;producao_bruta_pd;Ochoa 1;0
MEX;Real Estate Activities;70;producao_bruta_pd;Ochoa 1;0
MEX;Renting of M&Eq and Other Business Activities;71t74;producao_bruta_pd;Ochoa 1;0
MEX;"Public Admin and Defence; Compulsory Social Security";L;producao_bruta_pd;Ochoa 1;0
MEX;Education;M;producao_bruta_pd;Ochoa 1;154424,4817
MEX;Health and Social Work;N;producao_bruta_pd;Ochoa 1;77261,45143
MEX;Other Community, Social and Personal Services;O;producao_bruta_pd;Ochoa 1;0
MEX;Private Households with Employed Persons;P;producao_bruta_pd;Ochoa 1;0
USA;Agriculture, Hunting, Forestry and Fishing;AtB;producao_bruta_pd;Ochoa 1;629832,3802
USA;Mining and Quarrying;C;producao_bruta_pd;Ochoa 1;599786,6896
